Empresa,Producto,Presentacion,Principio_activo,1,2,3,4,5,6,7,8,9,10,11,12
"Alcon Laboratorios, S.A. de C.V:",PATANOL 0.2%,Caja con frasco gotero con 2.5 ml.,Olopatadina,,,,,417.28,417.28,417.28,417.28,,,,
"Alcon Laboratorios, S.A. de C.V:",VIGAMOXI,Frasco gotero con 5 ml.,Moxifloxacino,450,450,450,450,421.05,380.52,380.52,383.6636364,415.1,415.1,480.81,480.81
"Amgen Mexico, S.A. de C.V.",ARANESP,Envase de burbuja con 4 viales de 20 mcg/0.5ml,Darbepoetina alfa,,,,,,,4200.06,4200.06,4200.06,4200.06,,
"Amgen Mexico, S.A. de C.V.",ARANESP,Envase de burbuja con 4 viales de 30 mcg/0.3ml,Darbepoetina alfa,,,,,,,6820.02,6820.02,6820.02,6820.02,,
"Amgen Mexico, S.A. de C.V.",ARANESP,Envase de burbuja con 4 viales de 40 mcg/0.4ml,Darbepoetina alfa,,,,,,,11927.9,11927.9,11927.9,11927.9,,
"Amgen Mexico, S.A. de C.V.",ARANESP,Envase de burbuja con 4 viales de 60 mcg/0.3ml,Darbepoetina alfa,,,,,,,20057.54,20057.54,20057.54,20057.54,,
"Amgen Mexico, S.A. de C.V.",ARANESP,Envase de burbuja con 4 jeringas de 100 mcg/0.5ml,Darbepoetina alfa,,,,,,,37365.05,37365.05,37365.05,37365.05,,
"Amgen Mexico, S.A. de C.V.",ARANESP,Envase de burbuja con 1 vial de 300 mcg/0.6ml,Darbepoetina alfa,,,,,,,27280.2,27280.2,27280.2,27280.2,,
"Amgen Mexico, S.A. de C.V.",ARANESP,Envase de burbuja con 1 vial de 500 mcg/1 ml,Darbepoetina alfa,,,,,,,41277.48,41277.48,41277.48,41277.48,,
"Amgen Mexico, S.A. de C.V.",BLINCYTO,Caja con frasco de 35 mcg y un frasco con solucion estabilizadora IV,Blinatumomab,,,,,,,,,,,,93884.75
"Amgen Mexico, S.A. de C.V.",MIMPARA,Frasco con 30 tabletas de 60 mg,Cinacaltec,,,,,,,9776.41,9776.41,9776.41,9776.41,,
"Amgen Mexico, S.A. de C.V.",MIMPARA,Frasco con 30 tabletas de 30 mg,Cinacaltec,,,,,,,5176.28,5176.28,5176.28,5100.981818,4348,4348
"Amgen Mexico, S.A. de C.V.",NEULASTIM,Caja con 1 jeringa prellenada de 6 mg./0.6 ml.,Pegfilgrastim,,24400,24400,24400,24400,24925,25100,25647.63636,27336,28488.81818,31037,31037
"Amgen Mexico, S.A. de C.V.",NPLATE,Frasco †mpula tipo I con polvo de 375 mcg,Romiplostim,,,,,,,17802.62,17802.62,17802.62,17541.10909,14926,14926
"Amgen Mexico, S.A. de C.V.",PROLIA,Cja con jeringa prellenada de mg/ml,Denosumab,,,,,,,13694.02,13694.02,13694.02,12948.92727,5498,5498
"Amgen Mexico, S.A. de C.V.",REPATHA,Caja con 1 pluma precargada con 140 mg./ml.,Evolocumab,,,,,,,,,,,,19225.93
"Amgen Mexico, S.A. de C.V.",XGEVA,Frasco †mpula con 120mg / 1.7ml,Denosumab,,,,,,,,35594.13,35594.13,33131.57273,8506,8506
"Anchor Farma, S.A. de C.V:",PREDXAL,Caja con 14 tabletas de 80 mg.,Telmisartan,514,514,514,514,528.8666667,536.3,563.9666667,569.5,,,,
"Anchor Farma, S.A. de C.V:",PREDXAL,Caja con 28 tabletas de 80 mg.,Telmisartan,871,871,871,885.4666667,929.3666667,947.7,980.7,987.3,,,,
"Anchor Farma, S.A. de C.V:",PREDXAL,Caja con 28 tabs. de 40 mg.,Telmisartan,610,610,610,639.0666667,680.6,694.1,724.1833333,730.2,,,,
"Anchor Farma, S.A. de C.V:",PREDXAL,Caja con 14 tabs. de 40 mg.,Telmisartan,328,330.1333333,334.4,346.4,377.0666667,389.4,413.4833333,418.3,,,,
"Anchor Farma, S.A. de C.V:",PREDXAL PLUS,Caja con 14 tabletas de 80 mg. + 12.5 mg.,Telmisartan/Hidroclorotiazida,480,490.6666667,512,519.0666667,544.2,555,569.5833333,572.5,,,,
"AstraZeneca, S.A. de C.V.",ACCOLATE,Caja con 28 tabletas de 20 mg.,Zafirlukast,379,388.6666667,433.8333333,439,456.3333333,465,465,,,,,
"AstraZeneca, S.A. de C.V.",ACCOLATE,Caja con 28 tabletas de 10 mg.,Zafirlukast,287,294.3333333,328.1666667,332,345.3333333,352,352,,,,,
"AstraZeneca, S.A. de C.V.",ARIMIDEX,Caja con 14 tabletas de 1 mg.,Anastrozol,1210,1210,1210,1260.833333,1321.666667,1347,,,,,,
"AstraZeneca, S.A. de C.V.",ARIMIDEX,Caja con 28 tabletas de 1 mg.,Anastrozol,2310,2310,2310,2406.666667,2523.333333,2572,,,,,,
"AstraZeneca, S.A. de C.V.",ATACAND,Caja con 10 tabletas de 8 mg.,Candesartand,174,179.6666667,191,191,191,191,191,,,,,
"AstraZeneca, S.A. de C.V.",ATACAND,Caja con 20 tabletas de 8 mg.,Candesartand,333,335.3333333,340,340,340,340,340,,,,,
"AstraZeneca, S.A. de C.V.",ATACAND,Caja con 10 tabletas de 16 mg.,Candesartand,235,235,235,235,235,235,235,,,,,
"AstraZeneca, S.A. de C.V.",ATACAND,Caja con 20 tabletas de 16 mg.,Candesartand,460,460,460,460,460,460,460,,,,,
"AstraZeneca, S.A. de C.V.",ATACAND,Caja con 28 tabletas de 8 mg.,Candesartand,333,417.8888889,524,524,524,524,524,,,,,
"AstraZeneca, S.A. de C.V.",ATACAND,Caja con 14 tabletas de 8 mg.,Candesartand,,268,276.3333333,278,278,278,278,,,,,
"AstraZeneca, S.A. de C.V.",ATACAND,Caja con 28 tabletas de 16 mg.,Candesartand,,644,671.5,677,677,677,677,,,,,
"AstraZeneca, S.A. de C.V.",ATACAND,Caja con 14 tabletas de 16,Candesartand,,329,343.1666667,346,346,346,346,,,,,
"AstraZeneca, S.A. de C.V.",ATACAND,Caja con 14 tabletas de 32 mg.,Candesartand,,,,,,677,677,,,,,
"AstraZeneca, S.A. de C.V.",ATACAND,Caja con 28 tabletas de 32 mg.,Candesartand,,,,,,1354,1354,,,,,
"AstraZeneca, S.A. de C.V.",ATACAND PLUS,Caja con 28 tabletas de 16/12.5 mg.,Candesartand/Hidroclorotiazida,536,553.6666667,614,619,619,619,619,,,,,
"AstraZeneca, S.A. de C.V.",ATACAND PLUS,Caja con 14 tabletas de 16/12.5 mg.,Candesartand/Hidroclorotiazida,286,295.3333333,331.5,335,335,335,335,,,,,
"AstraZeneca, S.A. de C.V.",BRILINTA,Caja con 30 tabletas recubierta de 90 mg,Ticagrelor,,,,,,,,987,987,987,987,1013.25
"AstraZeneca, S.A. de C.V.",BRILINTA,Caja con 60 tabletas recubiertas de 90 mg,Ticagrelor,,,,,,,,1974,1974,1974,1974,2025.75
"AstraZeneca, S.A. de C.V.",BYDUREON,Caja con 4 estuches de dosis unica. 2 ml por dosis,Exenatida,,,,,,,,,,,,2269
"AstraZeneca, S.A. de C.V.",CAPRELSA,Caja 30 tabletas con 300 mg,Vandetanib,,,,,,,,,,,108696,111549
"AstraZeneca, S.A. de C.V.",CAPRELSA,Caja 30 tabletas con 100 mg,Vandetanib,,,,,,,,,,,54348,55774.5
"AstraZeneca, S.A. de C.V.",CASODEX,Caja con 14 tabletas 150 mg.,Bicalutamida,2215,2215,2215,2307.5,2326,,,,,,,
"AstraZeneca, S.A. de C.V.",CASODEX,Caja con 28 tabletas 150 mg.,Bicalutamida,4430,4430,4430,4615,4652,,,,,,,
"AstraZeneca, S.A. de C.V.",CASODEX,Caja con 14 tabletas 50 mg.,Bicalutamida,1160,1160,1160,1208.333333,1218,,,,,,,
"AstraZeneca, S.A. de C.V.",CASODEX,Caja con 28 tabletas 50 mg.,Bicalutamida,2320,2320,2320,2416.666667,2436,,,,,,,
"AstraZeneca, S.A. de C.V.",CRESTOR,Caja con 30 tabletas  recubiertas 5 mg.,Rosuvastatina,,,,,,,,,455,455,,
"AstraZeneca, S.A. de C.V.",CRESTOR,Caja con 30 tabletas  recubiertas 10 mg.,Rosuvastatina,,499,528.1666667,609.8333333,667,688,712.6666667,770.4545455,827,827,,
"AstraZeneca, S.A. de C.V.",CRESTOR,Caja con 10 tabletas  recubiertas 20 mg.,Rosuvastatina,247,261,306.5,353.3333333,386,398,398,,,,,
"AstraZeneca, S.A. de C.V.",CRESTOR,Caja con 20 tabletas  recubiertas 10 mg.,Rosuvastatina,274,301.3333333,371,405.6666667,439.3333333,453,453,,,,,
"AstraZeneca, S.A. de C.V.",CRESTOR ,Caja con 30 tabletas  recubiertas 20 mg.,Rosuvastatina,,,,,999,999,1040.333333,1107,1172,1172,,
"AstraZeneca, S.A. de C.V.",CRESTOR ,Caja con 20 tabletas  recubiertas 40 mg.,Rosuvastatina,,,,,,,,1000,1000,1000,,
"AstraZeneca, S.A. de C.V.",DIPRIVAN,Caja con frasco ampula 1 gr. emulsi¢n inyectable 100 ml.,Propofol,620,652,716,746,782,797,797,814.4545455,829,829,,
"AstraZeneca, S.A. de C.V.",DIPRIVAN,Caja con 5 ampolletas 20 ml. emulsi¢n inyectable 200 mg.,Propofol,764,803.3333333,882,919.5,964.3333333,983,983,1004.272727,1022,1022,,
"AstraZeneca, S.A. de C.V.",DIPRIVAN,Caja con jeringa prellenada emulsi¢n inyectable 1% 50 ml/500 mg.,Propofol,366,385.3333333,424,442.3333333,464,473,473,483.3636364,492,492,,
"AstraZeneca, S.A. de C.V.",DIPRIVAN,Caja con frasco ampula 500 mg. emulsi¢n inyectable 50 ml.,Propofol,331,348.3333333,383,399.6666667,419,427,427,,,,,
"AstraZeneca, S.A. de C.V.",EKLIRA GENUAIR,Caja con 1 inhalador con 60 dosis unitarias 322 mcg.,Bromuto de Aclidinio,,,,,,,,,,,,984
"AstraZeneca, S.A. de C.V.",FASLODEX ,Caja con jeringa prellenada sol inyectable  250mg/5ml,Fulvestrant,,,,,,9824,9824,9824,9824,9863.2,,
"AstraZeneca, S.A. de C.V.",FASLODEX ,Caja 2 jeringas prellenadas con 250mg/5 ml,Fulvestrant,,,,,,,,,,14835,15279.75,15833
"AstraZeneca, S.A. de C.V.",FORXIGA,Caja con 14 tabletas de 10mg.,Dapagliflozina,,,,,,,,,624.75,624.75,636.9375,641
"AstraZeneca, S.A. de C.V.",FORXIGA,Caja con 28 tabletas de 10mg.,Dapagliflozina,,,,,,,,,1110.35,1110.35,1131.0875,1138
"AstraZeneca, S.A. de C.V.",IRESSA,Caja con 30 tabletas de 250 mg.,Gefitinib,21720,21720,21720,22625,22806,22806,23718,24862.90909,26271,26376,27801,32151.5
"AstraZeneca, S.A. de C.V.",KOMBIGLYZE XR,Caja con 28 tabletas de 2.5 mg/1000mg.,Saxagliptina/Metformina,,,,,,,,574.65,574.65,574.65,595.9125,616.5
"AstraZeneca, S.A. de C.V.",KOMBIGLYZE XR,Caja con 56 tabletas de 2.5 mg/1000mg.,Saxagliptina/Metformina,,,,,,,,1093.7,1122.9,1137.5,1179.875,1221
"AstraZeneca, S.A. de C.V.",KOMBIGLYZE XR,Caja con 14 tabletas de 5 mg/1000mg.,Saxagliptina/Metformina,,,,,,,,574.65,574.65,574.65,595.9125,616.5
"AstraZeneca, S.A. de C.V.",KOMBIGLYZE XR,Caja con 28 tabletas de 5 mg/1000mg.,Saxagliptina/Metformina,,,,,,,,1093.7,1122.9,1137.5,1179.875,1221
"AstraZeneca, S.A. de C.V.",LINPARZA,Caja con cuatro frascos de 112 c·psulas de 50 mg,Olaparib,,,,,,,,,,,,128879
"AstraZeneca, S.A. de C.V.",MERREM I.V.,Caja con frasco ampula 500 mg. Polvo (soluci¢n inyectable),Meropenem,497,497,497,497,497,,,,,,,
"AstraZeneca, S.A. de C.V.",MERREM I.V.,Caja con frasco ampula 1 gr. Polvo (soluci¢n inyectable),Meropenem,972,972,972,972,972,,,,,,,
"AstraZeneca, S.A. de C.V.",NEXIUM ,Caja con 28 sobres de 2.5 mg granulado,Esomeprazol,,,,,,,,378.3333333,387,389.4,414,434.75
"AstraZeneca, S.A. de C.V.",NEXIUM  ,Caja con 28 sobres de 10 mg granulado,Esomeprazol,,,,,,480,480,511.8181818,551,554.4,589,618.5
"AstraZeneca, S.A. de C.V.",NEXIUM I.V.,Caja con frasco ampula 40 mg. ,Esomeprazol,210,213.6666667,221,232.6666667,244.3333333,249,256.3333333,263.6363636,270,272.8,290.75,293
"AstraZeneca, S.A. de C.V.",NEXIUM-MUPS,Caja con 7 tabletas 40 mg.,Esomeprazol,272,279,305.5,323.8333333,334.3333333,338,345.3333333,376.2727273,399,402.2,415,426.25
"AstraZeneca, S.A. de C.V.",NEXIUM-MUPS,Caja con 14 tabletas 40 mg.,Esomeprazol,500,509.6666667,551.5,584.3333333,603.3333333,610,616,644.0909091,665,665,665,682.25
"AstraZeneca, S.A. de C.V.",NEXIUM-MUPS,Caja con 14 tabletas 20 mg.,Esomeprazol,343,343,358,379.3333333,391.6666667,396,406,431.1818182,448,451.6,466,478
"AstraZeneca, S.A. de C.V.",ONGLYZA,Caja con 28 tabletas de 5 mg.,Saxagliptina,,,,,683.85,692.4,718.05,760.3681818,883.9666667,967.71,1003.9275,1038.5
"AstraZeneca, S.A. de C.V.",ONGLYZA,Caja con 14 tabletas de 5 mg.,Saxagliptina,,,,,370.4,375.025,388.9,411.8272727,474.2166667,518.02,537.505,556
"AstraZeneca, S.A. de C.V.",ONGLYZA,Caja con 28 tabletas de 2.5 mg.,Saxagliptina,,,,,683.85,692.4,718.05,760.3681818,883.9666667,967.71,1003.9275,1038.5
"AstraZeneca, S.A. de C.V.",SEROQUEL,Caja con 28 tabletas 25 mg.,Quetiapina,320,325.3333333,336,350.1666667,371.6666667,381,394.3333333,430.0909091,465,465,,
"AstraZeneca, S.A. de C.V.",SEROQUEL,Caja con 15 tabletas 100 mg.,Quetiapina,400,406.6666667,420,437.5,464.3333333,476,492,528.3636364,566.25,571,,
"AstraZeneca, S.A. de C.V.",SEROQUEL,Caja con 60 tabletas 100 mg.,Quetiapina,1450,1450,1450,1450,1527.333333,1679.333333,1906,2014,2104,2104,,
"AstraZeneca, S.A. de C.V.",SEROQUEL,Caja con 30 tabletas 100 mg.,Quetiapina,800,813.3333333,840,875,929.3333333,953,984.3333333,1063.818182,1143,1143,,
"AstraZeneca, S.A. de C.V.",SEROQUEL,Caja con 15 tabletas 200 mg.,Quetiapina,800,813.3333333,840,840,840,,,,,,,
"AstraZeneca, S.A. de C.V.",SEROQUEL,Caja con 30 tabletas 200 mg.,Quetiapina,1450,1474.333333,1523,1523,1523,,,,,,,
"AstraZeneca, S.A. de C.V.",SEROQUEL ,Caja con 20 tabletas 300 mg.,Quetiapina,,1120,1120,1120,1120,,,,,,,
"AstraZeneca, S.A. de C.V.",SEROQUEL XR,Caja con 30 tabletas  50 mg.,Quetiapina,,,,706,724.6666667,734,758.6666667,828.8181818,903,903,,
"AstraZeneca, S.A. de C.V.",SEROQUEL XR,Caja con 30 tabletas 300 mg.,Quetiapina,,,,1455,1493.666667,1513,1563.666667,1688.454545,1824,1824,,
"AstraZeneca, S.A. de C.V.",ZINFORO,Caja con 10 frascos con polvo 600 mg,Ceftarolina fosamilo,,,,,,,,,,,,9708
"AstraZeneca, S.A. de C.V.",ZOMIG,Caja con 2 tabletas 2.5 mg.,Zolmitriptano,260,260,260,268.3333333,280.6666667,286,286,,,,,
"AstraZeneca, S.A. de C.V.",ZOMIG RAPIMELT,Caja con 2 tabletas 2.5 mg.,Zolmitriptano,260,260,260,268.3333333,280.6666667,286,286,,,,,
"Bayer de MÇxico, S.A. de C.V.",LEVITRA,Caja con 1 tableta 5 mg.,Vardenafil clor. Trih,145,145,145,145,145,,,,,,,
"Bayer de Mexico, S.A. de C.V.",AVELOX,Caja con 7 tabletas de 400 mg.,Moxifloxacino clorh,635.8333333,675,675,675,675,675,755,795,795,795,786.5,769.5
"Bayer de Mexico, S.A. de C.V.",AVELOX,Frasco †mpula 250 ml. (160 mg./100 ml.) 400 mg.,Moxifloxacino clorh,635,690,690,690,690,690,714,726,726,726,717.5833333,700.75
"Bayer de Mexico, S.A. de C.V.",AVELOX,Caja con 5 tabletas de 400 mg.,Moxifloxacino clorh,462.5,480,480,480,526.6666667,550,608,637,637,637,630.9166667,618.75
"Bayer de Mexico, S.A. de C.V.",LEVITRA,Caja con 4 tabletas 10 mg.,Vardenafil clor. Trih,632.5,642,642,654.1666667,937.3333333,1012,984,970,970,970,958,934
"Bayer de Mexico, S.A. de C.V.",LEVITRA,Caja con 1 tableta 10 mg.,Vardenafil clor. Trih,158.3333333,160,161.25,167.6666667,234.3333333,253,245.6666667,242,242,242,240.1666667,236.5
"Bayer de Mexico, S.A. de C.V.",LEVITRA,Caja con 4 tabletas 20 mg.,Vardenafil clor. Trih,736.6666667,748.5833333,755,762.9166667,1036,1129,1129,1129,1129,1129,1113.25,1081.75
"Bayer de Mexico, S.A. de C.V.",LEVITRA,Caja con 1 tableta 20 mg.,Vardenafil clor. Trih,185.5,187.25,190,191.8333333,258.6666667,282,282,282,282,282,279.9166667,275.75
"Bayer de Mexico, S.A. de C.V.",NEXAVAR,Caja con 112 comprimidos 200 mg.,Sorafenib Tosilato,,75261,77105.5,74827,74827,74827,74827,74827,74827,74827,74180.91667,72888.75
"Bayer de Mexico, S.A. de C.V.",SPECTRACEF,Caja con 10 comprimidos de 200 mg.,Cefditoren pivoxilo,,290,290,290,306.6666667,338.3333333,313.3333333,293.0909091,274,274,274.8333333,276.5
"Bayer de Mexico, S.A. de C.V.",SPECTRACEF,Caja con 10 comprimidos de 400 mg.,Cefditoren pivoxilo,,580,580,580,627.3333333,651,669.6666667,677.9090909,667,667,664.3333333,659
"Bayer de Mexico, S.A. de C.V.",XARELTO,Caja con 10 comprimidos de 10 mg.,Rivaroxab†n,,,,1475,1475,1558.333333,1516.666667,1475,1475,1475,1469.5,1458.5
"Bayer de Mexico, S.A. de C.V.",XARELTO,Caja con 30 comprimidos de 10 mg.,Rivaroxab†n,,,,,,,,1875,1875,1875,1883.166667,1899.5
"Bayer de Mexico, S.A. de C.V.",XARELTO,Caja con 28 comprimidos de 15 mg.,Rivaroxab†n,,,,,,,,1435,1435,1435,1441.25,1453.75
"Bayer de Mexico, S.A. de C.V.",XARELTO,Caja con 28 comprimidos de 20 mg.,Rivaroxab†n,,,,,,,,1435,1435,1435,1441.583333,1454.75
"Boehringer Ingelheim Promeco, S.A. de C.V.",APTIVUS,Caja con  frasco con 120 c†psulas con 250 mcg.,Tripanavir,13100,13100,13100,13100,13100,13100,13100,13100,13100,13100,13100,13100
"Boehringer Ingelheim Promeco, S.A. de C.V.",GIOTRIF,Caja con 30 tabletas de 20 mg.,Afatinib,,,,,,,,,47489,47489,47489,47489
"Boehringer Ingelheim Promeco, S.A. de C.V.",GIOTRIF,Caja con 30 tabletas de 30 mg.,Afatinib,,,,,,,,,47489,47489,47489,47489
"Boehringer Ingelheim Promeco, S.A. de C.V.",GIOTRIF,Caja con 30 tabletas de 40 mg.,Afatinib,,,,,,,,,47489,47489,47489,47489
"Boehringer Ingelheim Promeco, S.A. de C.V.",GIOTRIF,Caja con 30 tabletas de 50 mg.,Afatinib,,,,,,,,,47489,47489,47489,47489
"Boehringer Ingelheim Promeco, S.A. de C.V.",JARDIANZ,Caja con 10 comprimidos de 10 mg.,Empaglifloxina,,,,,,,,,,491,491,501
"Boehringer Ingelheim Promeco, S.A. de C.V.",JARDIANZ,Caja con 30 comprimidos de 10 mg.,Empaglifloxina,,,,,,,,,,1221,1221,1249.666667
"Boehringer Ingelheim Promeco, S.A. de C.V.",JARDIANZ,Caja con 10 comprimidos de 25 mg.,Empaglifloxina,,,,,,,,,,491,491,500.3333333
"Boehringer Ingelheim Promeco, S.A. de C.V.",JARDIANZ,Caja con 30 comprimidos de 25 mg.,Empaglifloxina,,,,,,,,,,1221,1221,1249.666667
"Boehringer Ingelheim Promeco, S.A. de C.V.",JARDIANZ DUO,Caja con 30 tabletas con 5/850 mg,Empagliflozina/Metformina,,,,,,,,,,,668,668
"Boehringer Ingelheim Promeco, S.A. de C.V.",JARDIANZ DUO,Caja con 60 tabletas con 5/850 mg,Empagliflozina/Metformina,,,,,,,,,,,1291,1291
"Boehringer Ingelheim Promeco, S.A. de C.V.",JARDIANZ DUO,Caja con 30 tabletas con 12.5/850 mg,Empagliflozina/Metformina,,,,,,,,,,,668,668
"Boehringer Ingelheim Promeco, S.A. de C.V.",JARDIANZ DUO,Caja con 60 tabletas con 12.5/850 mg,Empagliflozina/Metformina,,,,,,,,,,,1291,1291
"Boehringer Ingelheim Promeco, S.A. de C.V.",JARDIANZ DUO,Caja con 30 tabletas con 12.5/1000 mg,Empagliflozina/Metformina,,,,,,,,,,,668,668
"Boehringer Ingelheim Promeco, S.A. de C.V.",JARDIANZ DUO,Caja con 60 tabletas con 12.5/1000 mg,Empagliflozina/Metformina,,,,,,,,,,,1291,1291
"Boehringer Ingelheim Promeco, S.A. de C.V.",MICARDIS,Caja con 28 tabletas de 80 mg.,Telmisartan,765.5,799,866,883.8,929.5,947.9,980.7333333,987.3,,,,
"Boehringer Ingelheim Promeco, S.A. de C.V.",MICARDIS,Caja con 28 tabletas de 40 mg.,Telmisartan,529.8,552.8666667,599,635.4,680.6,694.1,724.1833333,730.2,,,,
"Boehringer Ingelheim Promeco, S.A. de C.V.",MICARDIS,Caja con 14 tabletas de 80 mg.,Telmisartan,446.2,465.8,505,505,525.8666667,536.3,563.9666667,569.5,,,,
"Boehringer Ingelheim Promeco, S.A. de C.V.",MICARDIS,Caja con 14 tabletas de 40 mg.,Telmisartan,296.6333333,310.8,334.4,346.4,377.0666667,389.4,413.4833333,418.3,,,,
"Boehringer Ingelheim Promeco, S.A. de C.V.",MICARDIS PLUS,Caja con 28 tabletas de 80 mg. + 12.5 mg.,Telmisartan,,,,923.8,924.4,924.7,995.7833333,1010,,,,
"Boehringer Ingelheim Promeco, S.A. de C.V.",MICARDIS PLUS,Caja con 14 tabletas de 80 mg. + 12.5 mg.,Telmisartan,480,490.6666667,512,519.0666667,544.2,555,569.5833333,572.5,,,,
"Boehringer Ingelheim Promeco, S.A. de C.V.",MICARDIS PLUS,Caja con 14 tabletas de 80 mg. + 25 mg.,Telmisartan,,,,522.6,533.4,538.8,576.05,583.5,,,,
"Boehringer Ingelheim Promeco, S.A. de C.V.",OFEV,Caja con 60 c·psulas con 100 mg,Nintedanib,,,,,,,,,,,27624,27624
"Boehringer Ingelheim Promeco, S.A. de C.V.",OFEV,Caja con 60 c·psulas con 150 mg,Nintedanib,,,,,,,,,,,48042,48042
"Boehringer Ingelheim Promeco, S.A. de C.V.",PRADAXAR,Caja con 30 c†psulas con 110 mg.,Diavigatran Etexilato,,,,2147.4,2087.8,2058,1843.583333,1543.4,1543.4,1564.75,1684.928333,1760
"Boehringer Ingelheim Promeco, S.A. de C.V.",PRADAXAR,Caja con 10 c†psulas con 110 mg.,Diavigatran Etexilato,,,,716,696.1333333,686.2,686.2,686.2,708.7333333,720,720,720
"Boehringer Ingelheim Promeco, S.A. de C.V.",PRADAXAR,Caja con 30 c†psulas con 75 mg.,Diavigatran Etexilato,,,,2145,2087,2058,1843.583333,1543.4,1543.4,1564.75,1684.935,1760
"Boehringer Ingelheim Promeco, S.A. de C.V.",PRADAXAR,Caja con 30 c†psulas con 150 mg.,Diavigatran Etexilato,,,,,,,1543.4,1543.4,1543.4,1564.75,1684.928333,1760
"Boehringer Ingelheim Promeco, S.A. de C.V.",SPIOLTO,Caja con cartucho con 4 ml que contiene 30 dosis y dispositivo dosificador (Respimat),Tiotropio / Olodaterol,,,,,,,,,,,,1126.203636
"Boehringer Ingelheim Promeco, S.A. de C.V.",SPIRIVA,Caja con 10 c†psulas y dispos. Inhalador  con 18 mcg.,Tiotropio,420.3,420.3,420.3,420.3,420.3,420.3,420.3,420.3,,,,
